date,ndvi,smoothed_ndvi
2014-01-01,0.7502349657253535,0.8244905881639717
2014-02-01,0.5582446314305843,0.6401085581612612
2014-03-01,0.6206772024839331,0.4848316834838991
2014-04-01,0.6689594204848361,0.35865996413188517
2014-05-01,0.11736862199198075,0.26159340010521914
2014-06-01,0.06803740501401567,0.16923540832195363
2014-07-01,0.05453070697253965,0.09525744979289985
2014-08-01,0.0997196445694423,0.07185435468530499
2014-09-01,0.2897226620347394,0.17039660065817
2014-10-01,0.24782551037503195,0.2854047786025306
2014-11-01,0.28328806398306217,0.4295287065982421
2014-12-01,0.5597373570155514,0.5664694104547507
2015-01-01,0.7618332547078435,0.6419811871721368
2015-02-01,0.7311863561880609,0.6508933780926446
2015-03-01,0.5999752050971686,0.5627687820540717
2015-04-01,0.34046389800132776,0.38750148383234184
2015-05-01,0.1409300767934552,0.1827754370783838
2015-06-01,0.10304041446757195,0.14433281194667671
2015-07-01,0.0859843599113947,0.18145903038377892
2015-08-01,0.1539627905625413,0.2108173587327863
2015-09-01,0.628047341905019,0.2850698621373059
2015-10-01,0.29104416704945235,0.3302420387358153
2015-11-01,0.1555222486026797,0.40677393116065635
2015-12-01,0.5386950500325961,0.530215682207969
2016-01-01,0.5084549215292724,0.5484119930955296
2016-02-01,0.7795433245200308,0.5818165576856691
2016-03-01,0.7430454580395737,0.5127106896830603
2016-04-01,0.13680691988706414,0.38035628617352873
2016-05-01,0.11169541843595875,0.24668032173185905
2016-06-01,0.14991183216090195,0.09841274016184992
2016-07-01,0.2593722997251234,0.1553157511869
2016-08-01,0.09766903116017475,0.23079124750889973
2016-09-01,0.27559048373731215,0.2744814484435184
2016-10-01,0.6278174934096352,0.3575856757227327
2016-11-01,0.14282529195365576,0.45641821575071895
2016-12-01,0.5885463474258625,0.5712874958715234
2017-01-01,0.7480672894928698,0.629280437714094
2017-01-01,0.7024665926217992,0.6623223807071643
2017-02-01,0.6835935898411178,0.7650711492208397
2017-02-01,0.6725537657560228,0.679917545751477
2017-03-01,0.6254772185966164,0.5927061274811738
2017-03-01,0.5958913669314924,0.47764518359928154
2017-04-01,0.2382246842133475,0.35626388008716836
2017-04-01,0.2568627392939948,0.24854827058485665
2017-05-01,0.10267561284618378,0.17805490136093133
2017-05-01,0.18879381327509678,0.13833353432483164
2017-06-01,0.1861134738413906,0.1831582428748072
2017-06-01,0.19001094265576213,0.18226540461334928
2017-07-01,0.16235389000514228,0.18484501814759446
2017-07-01,0.2524216268981715,0.1560426664044143
2017-08-01,0.07571481153522158,0.12619973445202898
2017-08-01,0.10644406579248787,0.11701509258010759
2017-09-01,0.1409278400469349,0.20067436151149595
2017-09-01,0.18468493218539456,0.2533563884168006
2017-10-01,0.37424425698061636,0.26116742199811827
2017-10-01,0.5484627022608111,0.3001891483229208
2017-11-01,0.1443468349835537,0.36848462158741485
2017-11-01,0.1672262549821403,0.46982567639074674
2017-12-01,0.7003711769133458,0.5002341614663137
2018-01-01,0.6803296329616083,0.49935890009946776
2018-02-01,0.6240209791139533,0.5307338418417531
2018-03-01,0.2367438687248216,0.4437943590814657
2018-04-01,0.22075873500666168,0.2771482670976133
2018-05-01,0.26920547162806296,0.15893145239285272
2018-06-01,0.13059602838637377,0.13147464317998317
2018-07-01,0.10586449847748884,0.16798311845631547
2018-08-01,0.09779840297047088,0.17918333089871125
2018-09-01,0.348732853543279,0.2036467074831237
2018-10-01,0.2430601627327735,0.24137324820955297
2018-11-01,0.2569829688974141,0.29236295307799903
